/home/samira/Desktop/FINISH/soc-google-plus.txt_GUISE.txtresult.txtGFD (-3.3075,-3.3075,-3.3075,-2.2661,-3.3075,-2.52934,-3.3075,-3.3075,-1.21759,-0.725433,-0.424403,-1.24304,-1.42101,-0.932748,-2.70544,-2.05222,-1.27811,-2.10338,-1.70544,-2.83037,-2.40441,-2.22831,-1.67403,-2.05222,-2.4624,-1.98528,-2.70544,-2.70544,-2.83037)

/home/samira/Desktop/FINISH/soc-twitter-follows-mun.txt_GUISE.txtresult.txtGFD (-4.30168,-4.30168,-3.09756,-2.24478,-4.30168,-4.30168,-4.30168,-4.30168,-0.966223,-0.613974,-0.197946,-2.83928,-3.82456,-2.67843,-4.30168,-2.52353,-3.45658,-4.30168,-4.00065,-4.00065,-4.00065,-4.00065,-4.30168,-4.30168,-4.00065,-4.30168,-4.30168,-4.30168,-4.30168)

/home/samira/Desktop/FINISH/soc-tribes.txtresult.txtGFD (-1.36266,-1.74659,-1.1044,-1.7702,-1.82456,-1.08499,-1.39968,-2.07379,-1.2486,-1.31625,-3.18774,-1.21425,-1.06013,-1.77793,-1.86711,-1.35425,-1.31581,-1.73583,-1.12588,-2.3572,-1.26665,-2.3826,-1.60708,-1.21782,-1.63236,-1.45288,-1.91787,-2.05126,-3.18774)

/home/samira/Desktop/FINISH/soc-slashdot.txt_GUISE.txtresult.txtGFD (-3.3075,-3.3075,-3.3075,-2.60853,-3.3075,-3.00647,-3.3075,-3.3075,-1.16448,-0.43944,-0.294237,-1.96507,-2.16137,-1.70544,-3.00647,-2.2661,-3.3075,-3.3075,-2.52934,-3.3075,-3.3075,-3.3075,-2.83037,-3.3075,-3.3075,-3.3075,-3.3075,-3.3075,-3.3075)

/home/samira/Desktop/FINISH/soc-slashdot-zoo.txt_GUISE.txtresult.txtGFD (-4.30168,-4.30168,-3.12559,-2.56132,-4.30168,-3.82456,-4.30168,-4.30168,-1.21354,-0.537804,-0.228256,-1.84684,-2.2486,-1.66319,-3.52353,-2.34264,-2.54581,-3.60271,-2.65823,-3.82456,-3.39859,-4.30168,-3.09756,-3.82456,-3.69962,-3.82456,-4.30168,-4.00065,-4.00065)

/home/samira/Desktop/FINISH/soc-themarker.txt_GUISE.txtresult.txtGFD (-3.3075,-3.3075,-3.3075,-3.00647,-3.3075,-3.3075,-3.3075,-3.3075,-1.373,-0.579955,-0.23672,-1.72771,-2.19355,-1.23195,-2.83037,-2.05222,-2.35325,-3.00647,-2.35325,-3.00647,-3.3075,-3.3075,-3.3075,-2.83037,-3.3075,-3.3075,-3.3075,-3.3075,-3.3075)

/home/samira/Desktop/FINISH/soc-hamsterster.txt_GUISE.txtresult.txtGFD (-2.92147,-3.82456,-2.16496,-2.07379,-3.69962,-2.58568,-3.45658,-3.82456,-0.857636,-0.410199,-0.701362,-1.23722,-1.37073,-1.09838,-2.85452,-1.80753,-1.69962,-2.46917,-1.76765,-3.45658,-2.66821,-2.43836,-2.33789,-2.6889,-3.26029,-2.71062,-3.82456,-3.45658,-4.00065)

/home/samira/Desktop/FINISH/soc-sign-epinions.txt_GUISE.txtresult.txtGFD (-3.3075,-3.3075,-3.00647,-2.40441,-3.3075,-2.83037,-3.3075,-3.3075,-1.02646,-0.368476,-0.610267,-1.14018,-1.67403,-1.16762,-3.3075,-1.71643,-1.69471,-2.70544,-2.22831,-2.83037,-2.60853,-3.3075,-2.3075,-2.70544,-3.00647,-3.3075,-3.3075,-3.3075,-3.3075)

/home/samira/Desktop/FINISH/soc-slashdot-trust-all.txt_GUISE.txtresult.txtGFD (-3.3075,-3.3075,-2.83037,-3.3075,-3.3075,-3.00647,-3.3075,-3.3075,-1.35811,-0.662074,-0.177162,-1.76343,-2.3075,-1.48795,-3.3075,-2.4624,-2.60853,-3.3075,-3.3075,-3.3075,-3.00647,-3.3075,-3.3075,-3.00647,-3.3075,-3.3075,-3.3075,-3.3075,-3.3075)

/home/samira/Desktop/FINISH/soc-Slashdot0902.txt_GUISE.txtresult.txtGFD (-3.3075,-3.3075,-3.00647,-3.3075,-3.3075,-3.00647,-3.3075,-3.3075,-1.87613,-0.913044,-0.081154,-2.60853,-2.70544,-1.83037,-3.3075,-2.52934,-2.83037,-3.3075,-3.3075,-3.3075,-3.3075,-3.3075,-3.3075,-3.3075,-3.3075,-3.3075,-3.3075,-3.3075,-3.3075)

/home/samira/Desktop/FINISH/soc-gowalla.txt_GUISE.txtresult.txtGFD (-3.3075,-3.3075,-3.3075,-3.3075,-3.3075,-2.83037,-3.3075,-3.3075,-3.3075,-1.64474,-0.0170162,-3.3075,-3.3075,-2.70544,-3.3075,-3.3075,-3.3075,-3.3075,-3.3075,-3.3075,-3.3075,-3.3075,-3.3075,-3.3075,-3.3075,-3.3075,-3.3075,-3.3075,-3.3075)

/home/samira/Desktop/FINISH/soc-twitter-follows.txt_GUISE.txtresult.txtGFD (-4.30168,-4.30168,-3.07123,-2.21532,-4.30168,-4.30168,-4.30168,-4.30168,-1.04089,-0.605587,-0.189612,-3.2225,-3.60271,-2.95926,-4.30168,-2.36718,-3.82456,-4.30168,-3.82456,-3.39859,-4.30168,-4.00065,-4.30168,-4.30168,-4.30168,-4.30168,-4.30168,-4.30168,-4.30168)

/home/samira/Desktop/FINISH/soc-Slashdot0811.txt_GUISE.txtresult.txtGFD (-3.3075,-3.3075,-2.83037,-2.83037,-3.3075,-2.83037,-3.3075,-3.3075,-2.16137,-0.88754,-0.0819283,-2.52934,-2.83037,-1.81613,-3.3075,-3.3075,-2.70544,-3.3075,-3.3075,-3.3075,-3.3075,-3.3075,-3.3075,-3.3075,-3.3075,-3.3075,-3.3075,-3.3075,-3.3075)

