67,socfb-Amherst41,0.016211209,0.028253821,0.031032886,0.069013432,0.233904585,0.333950903,0.267716535,0.05511811,0,-3.45658,-4.30168,-2.34264,-2.66821,-4.30168,-3.04641,-3.60271,-4.30168,-0.656357,-0.443023,-1.2189,-1.08631,-1.09675,-1.17587,-2.52353,-1.48412,-1.54963,-2.19788,-1.61954,-3.07123,-2.12559,-2.87032,-2.2335,-2.18774,-2.7702,-2.62044,-3.30168,-3.45658,-4.30168,2.21
68,socfb-Auburn71,0.014332284,0.025011241,0.034397482,0.072111061,0.218356565,0.258936601,0.267254946,0.139838129,0.006632194,-4.30168,-4.30168,-3.45658,-2.83928,-4.30168,-3.69962,-4.30168,-4.30168,-1.14726,-0.526143,-0.284648,-1.6889,-1.79383,-1.26227,-3.34744,-2.2225,-2.26425,-3.09756,-2.55349,-4.30168,-3.2225,-3.34744,-3.12559,-3.34744,-4.30168,-3.60271,-4.00065,-4.00065,-4.30168,4.445
69,socfb-Baylor93,0.013405475,0.026164903,0.032221594,0.070822902,0.205604458,0.262779617,0.27133974,0.146894937,0.004683841,-4.30168,-4.30168,-2.7702,-2.97946,-4.00065,-3.45658,-4.30168,-4.00065,-0.690808,-0.395508,-0.702453,-1.32396,-1.30692,-1.30561,-2.82456,-1.83186,-2.01388,-2.64847,-2.03923,-3.69962,-2.65823,-3.30168,-2.48877,-2.87032,-3.60271,-3.30168,-4.30168,-3.69962,-4.00065,3.6034
70,socfb-BC17,0.022155905,0.032555616,0.041237113,0.071712787,0.21947911,0.321396274,0.259811901,0.071079761,0.001356484,-4.30168,-4.30168,-2.73348,-2.75761,-4.30168,-3.18774,-4.30168,-4.30168,-0.636475,-0.357989,-0.916432,-1.25832,-1.28465,-1.31536,-2.7702,-1.77276,-1.95338,-2.59411,-2.02984,-3.52353,-2.81032,-3.07123,-2.6889,-2.73348,-3.82456,-3.15555,-4.00065,-3.82456,-4.30168,2.514
71,socfb-Berkeley13,0.030427746,0.051653179,0.055213873,0.099052023,0.259468208,0.282358382,0.219375723,0.059144509,0.002265896,-4.30168,-4.30168,-3.04641,-3.34744,-4.30168,-3.52353,-4.30168,-4.30168,-0.950852,-0.479578,-0.34264,-1.60011,-1.6805,-1.42373,-3.39859,-2.24478,-2.34264,-2.95926,-2.58568,-3.82456,-3.30168,-3.69962,-3.12559,-3.52353,-3.82456,-4.00065,-4.30168,-4.00065,-4.30168,2.4044
72,socfb-Bingham82,0.020763423,0.035654362,0.052432886,0.094379195,0.259437919,0.306417785,0.235213926,0.044567953,0.000209732,-3.52353,-4.30168,-2.53825,-2.67843,-4.30168,-2.97946,-4.30168,-4.30168,-0.549709,-0.357297,-1.20338,-1.22906,-1.24212,-1.36216,-2.75761,-1.85297,-1.96723,-2.55349,-1.98993,-3.82456,-2.64847,-3.39859,-2.42087,-2.6889,-3.69962,-3.04641,-3.60271,-3.82456,-3.82456,2.1104
73,socfb-Bowdoin47,0.017592593,0.025925926,0.036574074,0.066203704,0.259259259,0.350462963,0.255092593,0.031018519,0.000462963,-4.30168,-4.30168,-2.40959,-2.67843,-3.82456,-2.97946,-3.60271,-4.30168,-0.661001,-0.43498,-1.10001,-1.1033,-1.12704,-1.15524,-2.46283,-1.54657,-1.60972,-2.24098,-1.6774,-3.60271,-2.2298,-3.00065,-2.31941,-2.25636,-3.15555,-2.7702,-3.45658,-3.30168,-4.00065,2.0356
74,socfb-Brandeis99,0.027334235,0.035723951,0.053044655,0.09255751,0.259269283,0.322868742,0.226792963,0.036265223,0.001082544,-4.30168,-4.30168,-3.00065,-2.81032,-4.30168,-3.82456,-4.30168,-4.30168,-1.28716,-0.69973,-0.254484,-1.67125,-1.7478,-0.928585,-3.30168,-2.0842,-1.91251,-2.64847,-2.3932,-3.60271,-3.02293,-3.26029,-2.83928,-3.00065,-3.69962,-3.52353,-4.00065,-4.30168,-4.30168,1.9498
75,socfb-Brown11,0.025890361,0.037559256,0.045703172,0.073781451,0.202868603,0.275434545,0.295976662,0.086058101,0.002066367,-4.30168,-4.30168,-2.56132,-3.09756,-4.30168,-3.07123,-4.30168,-4.30168,-0.604801,-0.359326,-0.960642,-1.2513,-1.2859,-1.33367,-2.81032,-1.79925,-1.9774,-2.64847,-2.06363,-4.00065,-2.69962,-3.34744,-2.73348,-2.79653,-3.52353,-3.18774,-4.00065,-4.00065,-4.30168,2.7502
76,socfb-BU10,0.027018351,0.04857953,0.059172864,0.108340913,0.271093039,0.313573378,0.194318121,0.031298486,0.000588519,-4.30168,-4.30168,-2.73348,-2.51635,-4.30168,-2.97946,-4.00065,-4.30168,-0.690064,-0.351121,-0.656455,-1.50372,-1.48877,-1.42431,-3.18774,-2.11135,-2.31491,-2.97946,-2.3826,-3.69962,-3.04641,-3.39859,-2.92147,-3.39859,-4.00065,-3.60271,-4.30168,-4.00065,-4.30168,1.9092
